Date,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation,code
2016-07-31,15.5,3.24145,4.7818106094495,3.0753968253968,-5.122805368066,55.517210935279,52.972257997885,79.120537979879,82.471360059575,70.098757375533,BIGMAC_BRA
2017-01-31,16.5,3.22395,5.1179453775648,3.2608695652174,1.1451655645215,67.550944500326,70.708447090318,104.38215427626,109.25055260887,79.153340004409,BIGMAC_BRA
2017-07-31,16.5,3.2343,5.1015675725814,3.1132075471698,-3.744008064502,56.850781701181,54.49709250929,82.226972063857,113.06021126482,73.448283651401,BIGMAC_BRA
2018-01-31,16.5,3.2279,5.1116825180458,3.125,-3.1878310976176,60.962604198063,43.624963862419,65.014638445817,109.83249477906,59.84949875465,BIGMAC_BRA
2018-07-31,16.9,3.83835,4.4029335521774,3.0671506352087,-20.1,34.7,28.1,46.9,75.1,39.8,BIGMAC_BRA
2019-01-31,16.9,3.71795,4.5455156739601,3.0286738351254,-18.5,40.6,37.0,60.1,78.9,46.3,BIGMAC_BRA
2019-07-31,17.5,3.8073,4.5964331678617,3.0487804878049,-19.9,30.7,35.5,54.7,74.3,48.3,BIGMAC_BRA
2020-01-31,19.9,4.1419,4.80455829450252,3.5097001763668407,-15.264,42.0,46.0,54.900000000000006,87.1,55.1,BIGMAC_BRA
2020-07-31,20.9,5.34045,3.91352788622682,3.6602451838879193,-31.462,19.1,16.8,33.6,52.300000000000004,27.400000000000002,BIGMAC_BRA
2021-01-31,21.9,5.5046,3.97849071685499,3.8692579505300313,-29.7,20.1,6.6000000000000005,27.500000000000004,48.4,17.2,BIGMAC_BRA
2021-07-31,22.9,5.24865,4.36302668305183,4.05309734513274,-22.778000000000002,31.512,20.444000000000003,30.181,73.924,32.009,BIGMAC_BRA
2000-04-30,2.85,1.47,1.94,1.1354581673307,-22.757947800634,,,,,,BIGMAC_CAN
2001-04-30,3.33,1.56,2.14,1.3110236220472,-15.960024227741,,,,,,BIGMAC_CAN
2002-04-30,3.33,1.57,2.12,1.3373493975904,-14.81850970762,,,,,,BIGMAC_CAN
2003-04-30,3.2,1.45,2.17,1.1808118081181,-18.564702888408,,,,,,BIGMAC_CAN
2004-05-31,3.19,1.37,2.33,1.1,-19.70802919708,,,,,,BIGMAC_CAN
2005-06-30,3.28,1.2494,2.6252601248599,1.0718954248366,-14.207185462094,,,,,,BIGMAC_CAN
2006-01-31,3.52,1.1704,3.0075187969925,1.1174603174603,-4.5232127938895,,,,,,BIGMAC_CAN
2006-05-31,3.52,1.12045,3.1415948949083,1.1354838709677,1.3417708034934,,,,,,BIGMAC_CAN
